SUBJECT,COURSE_NUMBER,NAME,UNIT_COUNT
ANB,298,Group Study,1-5 units
ANB,299,Research,1-12 units
ABI,050A,Animal Biology Laboratory,2 units
ABI,050B,Animal Biology,3 units
ABI,050C,Animal Biology,3 units
ABI,092,Intership in Animal Biology,1-12 units
ABI,098,Directed Group Study,1-5 units
ABI,099,Special Study for Undergraduate,1-5 units
ABI,102,Animal Biochemistry & Metabolism,5 units
ABI,103,Animal Biochemistry & Metabolism,5 units
ABI,187,Animal Biology Seminar,2 units
ABI,189,Senior Practicum,2 units
ABI,189D,Senior Practicum Discussion,1 unit
ABI,192,Internship in Animal Biology,1-12 units
ABI,198,Directed Group Study,1-5 units
ABG,200A,Integrated Animal Biology I,3 units
ABG,200B,Integrated Animal Biology II,3 units
ABG,203,Advanced Animal Welfare,3 units
ABG,205,Advanced Nutritional Energetics,3 units
ABG,255,Physiology of the Stress Response,2 units
ABG,290,Seminar in Animal Biology,1 unit
ABG,290C,Research Conference,1 unit
ABG,298,Group Study in Animal Biology,1-5 units
ABG,299,Research,1-11 units
ANG,101,Animal Cytogenetics,3 units
ANG,105,Horse Genetics,3 units
ANG,107,Genetics & Animal Breeding,5 units
ANG,198,Directed Group Study,1-5 units
ANG,204,Theory of Quantitative Genetics,3 units
ANG,208,Estimation of Genetic Parameters,3 units
ANG,211,Genetic Engineering of Animals,2 units
ANG,298,Group Study,1-5 units
ANG,299,Research in Animal Genetics,1-12 units
ANS,001,Domestic Animals & People,4 units
ANS,002,Introductory Animal Science,4 units
ANS,015,Introductory Horse Husbandry,3 units
ANS,018,Introductory Aquaculture,4 units
ANS,021,Livestock & Dairy Cattle Judging,2 units
ANS,022A,Animal Evaluation,2 units
ANS,022B,Animal Evaluation,2 units
ANS,041,Domestic Animal Production,2 units
ANS,090C,Research Group Conference,1 unit
ANS,092,Internship in Animal Science,1-12 units
ANS,098,Directed Group Study,1-5 units
ANS,099,Special Study for Undergraduates,1-5 units
ANS,100,Animal Physiology,5 units
ANS,103,Animal Welfare,4 units
ANS,107,Zoo Biology & Research,3 units
ANS,108,Equine Behavior & Welfare,3 units
ANS,112,Sustainable Animal Agriculture,3 units
ANS,115,Advanced Horse Production,4 units
ANS,118,Fish Production,4 units
ANS,119,Invertebrate Aquaculture,4 units
ANS,120,Principles of Meat Science,3 units
ANS,120L,Meat Science Laboratory,2 units
ANS,123,Animal Growth & Development,4 units
ANS,124,Lactation,4 units
ANS,125,Equine Exercise Physiology,3 units
ANS,126,Equine Nutrition,3 units
ANS,127,Advanced Equine Reproduction,3 units
ANS,130,Endocrinology Laboratory,3 units
ANS,133,Animal Cell Culture Laboratory,4 units
ANS,134,Animal Nutrition Laboratory,3 units
ANS,135,Production Animal Laboratory,3 units
ANS,138,Meat Quality & Safety Laboratory,3 units
ANS,139,Experimental Animal Physiology,3 units
ANS,140,Management of Laboratory Animals,4 units
ANS,141,Equine Enterprise Management,4 units
ANS,143,Pig & Poultry Care & Management,4 units
ANS,144,Beef Cattle & Sheep Production,4 units
ANS,145,Meat Processing & Marketing,4 units
ANS,146,Dairy Cattle Production,5 units
ANS,147,Dairy Processing & Marketing,3 units
ANS,149,Farrier Science,3 units
ANS,149L,Farrier Science Laboratory,1 unit
ANS,150,Animal Health & Disease,4 units
ANS,160A,Stress & Reproduction I,2 units
ANS,160B,Stress & Reproduction II,2 units
ANS,170,Ethics of Animal Use,4 units
ANS,190C,Research Group Conference,1 unit
ANS,192,Internship in Animal Science,1-12 units
ANS,194,Research in Animal Science,3 units
ANS,197T,Tutoring in Animal Science,1-4 units
ANS,198,Directed Group Study,1-5 units
ANS,200,Strategies in Animal Production,4 units
ANS,206,Models in Agriculture & Nutrition,3 units
ANS,259,Literature in Animal Science,1 unit
ANS,290,Seminar,1 unit
ANS,290C,Research Group Conference,1 unit
ANS,291,Current Research in Animal Science,1 unit
ANS,298,Group Study,1-5 units
ANS,299,Research,1-12 units
