SUBJECT,COURSE_NUMBER,NAME,UNIT_COUNT
ECS,275B,Advanced Computer Graphics,4 units
ECS,276,Advanced Volume Visualization,4 units
ECS,277,Advanced Visualization,4 units
ECS,278,Computer-Aided Geometric Design,4 units
ECS,279,Computer Animation,4 units
ECS,280,Virtual Reality Technology,4 units
ECS,290,Seminar in Computer Science,1 unit
ECS,293A,Research in Computer Science,1 unit
ECS,293B,Research in Computer Science,1 unit
ECS,298,Group Study,1-5 units
ECS,299,Research,1-12 units
ECS,390,The Teaching of Computer Science,1 unit
CNS,092,Internship in Consumer Science,1-12 units
CNS,100,Consumer Behavior,3 units
CNS,192,Internship in Consumer Science,1-12 units
CNS,198,Directed Group Study,1-5 units
CNS,299,Research,1-12 units
CRI,200A,Approaches to Critical Theory,4 units
CRI,200B,Problems in Critical Theory,4 units
CRI,200C,History of Critical Theory,4 units
CRI,201,Critical Theory Special Topics,4 units
CRI,202,Visual Culture,4 units
CRI,298,Directed Group Study,1-5 units
CRI,299,Individual Study,1-12 units
CST,200A,Histories of Cultural Studies,4 units
CST,200B,Theories of Cultural Studies,4 units
CST,200C,Practices of Cultural Studies,4 units
CST,204,History & Theory of Sexualities,4 units
CST,206,Studies in Race Theory,4 units
CST,210,Memory, Culture, & Human Rights,4 units
CST,212,Studies in the Rhetorics of Culture,4 units
CST,250,Research Seminar,4 units
CST,290,Colloquium,1 unit
CST,295,Special Topics,4 units
CST,298,Group Research,1-5 units
CST,299,Directed Research,1-5 units
CST,299D,Dissertation Research,1-12 units
DER,192,Internship in Cutaneous Biology,1-4 units
DER,299,Research in Cutaneous Biology,1-12 units
DER,420,Integumentary System,2 units
DER,460,Dermatology Clinical Clerkship,3-9 units
DER,475,Telehealth in Dermatology,6 units
DER,480,Insights in Dermatology,1-3 units
DER,499,Research in Cutaneous Biology,1-12 units
DES,001,Introduction to Design,4 units
DES,014,Design Drawing,4 units
DES,015,Form & Color,4 units
DES,021,Drafting & Perspective,4 units
DES,040B,Ideologies of Design,4 units
DES,099,Special Study for Undergraduates,1-5 units
DES,111,Coding for Designers,4 units
DES,113,Photography & Digital Imaging,4 units
DES,115,Letterforms & Typography,4 units
DES,117,Interactive Media I,4 units
DES,126,Design Ethnography,4 units
DES,127A,Sustainable Design,4 units
DES,131,Global Fashion & Product Design,4 units
DES,132A,Textile Design: Woven Structures,4 units
DES,132B,Loom-Constructed Textile Design,4 units
DES,135A,Furniture Design & Detailing,4 units
DES,135B,Furniture Design & Prototyping,4 units
DES,136A,Lighting Technology & Design,4 units
DES,137A,Daylighting & Interior Design,4 units
DES,137B,Daylighting Design Studio,4 units
DES,141,Cultural Studies of Fashion,4 units
DES,143,History of Fashion,4 units
DES,144,History of Interior Architecture,4 units
DES,145,History of Visual Communication,4 units
DES,146,Mobilities,4 units
DES,151,Type in Motion,4 units
DES,155A,Pattern, Form & Surface,4 units
DES,157A,Interactive Media II,4 units
DES,157B,Interactive Media III,4 units
DES,158,Data & Large-Scale Installation,4 units
DES,159,Design for Understanding,4 units
DES,166,Human Centered Design,4 units
DES,168,Interactive Objects,4 units
DES,175,Functional Apparel Design,4 units
DES,177,Computer-Assisted Fashion Design,4 units
DES,178,Design & Wearable Technology,4 units
DES,180B,Advanced Interior Architecture,4 units
DES,185,Exhibition Design,4 units
DES,186,Environmental Graphic Design,4 units
DES,187,Narrative Environments,4 units
DES,190,Proseminar,1 unit
DES,191A,Workshops in Design,4-12 units
DES,191B,Workshops in Design,4-12 units
DES,191C,Workshops in Design,4-12 units
DES,191D,Workshops in Design,4-12 units
DES,192,Internship,1-12 units
DES,197T,Tutoring in Design,1-5 units
DES,198,Directed Group Study,1-5 units
DES,198F,Student-Taught Course,1-4 units
DES,199FB,Student Facilitated Teaching,1-4 units
DES,221,Theory & Issues in Design,4 units
DES,225,Studio Practice in Design,4 units
DES,226,Studio Practice & Critique,4 units
DES,227,Thesis Exhibition Studio & Critique,4 units
DES,290,Seminar in Design,4 units
DES,292,Practicum in Design,1-12 units
DES,299,Individual Focused Study,1-12 units
DES,299D,Project Concentration,1-12 units
DEB,282,Biotechnology Internship,7-12 units
DEB,294,Current Progress in Biotechnology,1 unit
DRA,001,Theatre, Performance & Culture,4 units
DRA,001S,Theatre, Performance & Culture,4 units
DRA,010,Introduction to Acting,4 units
DRA,020,Introduction to Dramatic Art,4 units
DRA,021A,Fundamentals of Acting,4 units
DRA,024,Visual Aspects of Dramatic Art,4 units
DRA,030,Theatre Laboratory,1-5 units
DRA,040A,Beginning Modern Dance,2 units
DRA,040B,Intermediate Modern Dance,2 units
DRA,041A,Beginning Jazz Dance,2 units
DRA,041B,Intermediate Jazz Dance,2 units
DRA,042A,Beginning Ballet,2 units
DRA,042B,Intermediate Ballet,2 units
DRA,043A,Contact Improvisation Dance,2 units
DRA,044A,Beginning Hip Hop Dance,2 units
DRA,044B,Intermediate Hip Hop Dance,2 units
DRA,092,Internship in Dramatic Art,1-12 units
DRA,098,Directed Group Study,1-5 units
DRA,099,Special Study for Undergraduates,1-5 units
DRA,114,Theatre on Film,4 units
DRA,116,Design on Screen,4 units
DRA,124E,Costume Design for Film,4 units
DRA,125,Scenic Painting: Studio,4 units
DRA,127A,Principles of Directing,4 units
DRA,127B,Principles of Directing,4 units
DRA,128,Principles of Theatre Sound,4 units
DRA,135,Voice in Performance,2 units
DRA,140A,Dance Composition,4 units
DRA,140B,Dance Composition,4 units
DRA,140C,Dance Composition,4 units
DRA,142,History of Modern Dance,4 units
DRA,143,Dance & Movement Studio,1-4 units
DRA,145,Directed Choreography Projects,4 units
DRA,150,American Theatre & Drama,4 units
DRA,151S,Australian Performance & Culture,4 units
DRA,153,Latinx Theatre & Performance,4 units
DRA,155,Representing Race in Performance,4 units
DRA,156A,Performance Analysis,4 units
DRA,160A,Principles of Playwriting,4 units
DRA,160B,Principles of Playwriting,4 units
DRA,170,Media Theatre,4 units
DRA,174,Acting for Camera,4 units
DRA,175,Small Scale Film Production,4 units
DRA,180,Theatre Laboratory,1-5 units
DRA,180B,Theatre Laboratory: Design,1-4 units
DRA,180D,Theatre Laboratory: Crew,2-4 units
DRA,180E,Theatre Laboratory: Scenic,1-4 units
DRA,180F,Theatre Laboratory: Costume,1-4 units
DRA,192,Internships in Theatre & Dance,1-12 units
DRA,192S,Internships in Theatre & Dance,1-12 units
DRA,195,Senior Capstone Experience,2 units
DRA,197T,Tutoring in Dramatic Art,1-5 units
DRA,198,Directed Group Study,1-5 units
DRA,211,Advanced Voice & Speech,3 units
DRA,212,Advanced Stage Movement,3 units
DRA,229,Special Problems in Directing,4 units
DRA,250,Modern Theatre,4 units
DRA,251,Scoring & Scripting in Performance,4 units
DRA,253,Approaches to Collaboration,4 units
DRA,254,Performing Identities/Personae,4 units
DRA,255,Composition in the Arts,4 units
DRA,256,Visual Language for Performance,4 units
DRA,280,Theatre Laboratory,1-12 units
DRA,298,Group Study,1-5 units
DRA,299,Individual Study,1-12 units
DRA,299D,Dissertation Research,1-12 units
DRA,413,Stage Make-up,1 unit
EAS,113,Cinema & Society in China,4 units
EAS,190,East Asian Studies Seminar,4 units
EAS,192,East Asian Studies Seminar,1-12 units
EAS,196A,Honors Seminar,4 units
EAS,196B,Honors Seminar,4 units
EAS,198,Directed Group Study,1-5 units
ECL,205,Community Ecology,4 units
ECL,207,Plant Population Biology,3 units
ECL,208,Issues in Conservation Biology,4 units
ECL,212A,Environmental Policy Process,4 units
ECL,212B,Environmental Policy Evaluation,4 units
ECL,215,Social Ecological Systems,3 units
ECL,216,Ecology & Agriculture,4 units
ECL,219,Ecosystem Biogeochemistry,4 units
ECL,225,Terrestrial Field Ecology,4 units
ECL,232,Theoretical Ecology,3 units
ECL,243,Ecological Genomics,4 units
ECL,245,Climate Change, Water & Society,4 units
ECL,262,Advanced Population Dynamics,3 units
ECL,271,Research Conference in Ecology,1 unit
ECL,290,Seminar in Ecology,1-4 units
ECL,296,Topics in Ecology & Evolution,1 unit
ECL,297T,Tutoring in Ecology,1-4 units
ECL,298,Group Study,1-5 units
ECL,299,Research,1-12 units
ECN,001A,Principles of Microeconomics,4 units
ECN,001AV,Principles of Microeconomics,4 units
ECN,001AY,Principles of Microeconomics,4 units
ECN,001B,Principles of Macroeconomics,4 units
ECN,001BV,Principles of Macroeconomics,4 units
ECN,090X,Lower Division Seminar,1-2 units
ECN,092,Internship & Field Work,1-12 units
ECN,098,Group Study for Undergraduates,1-5 units
ECN,101,Intermediate Macro Theory,4 units
ECN,102,Analysis of Economic Data,4 units
ECN,106,Decision Making,4 units
ECN,111A,Economic History,4 units
ECN,111B,Economics History,4 units
ECN,115A,Economic Development,4 units
ECN,115B,Economic Development,4 units
ECN,115BY,Economic Development,4 units
ECN,116,Comparative Economic Systems,4 units
ECN,121A,Industrial Organization,4 units
ECN,121B,Industrial Organization,4 units
ECN,125,Energy Economics,4 units
ECN,130,Public Microeconomics,4 units
ECN,131,Public Finance,4 units
ECN,132,Health Economics,4 units
ECN,133Y,Poverty, Inequality & Public Policy,4 units
ECN,134,Financial Economics,4 units
ECN,136,Topics in Macroeconomic Theory,4 units
ECN,137,Macroeconomic Policy,4 units
ECN,140,Econometrics,4 units
ECN,141,Economic & Financial Forecasting,4 units
ECN,145,Transportation Economics,4 units
ECN,151A,Economics of the Labor Market,4 units
ECN,151B,Economics of Human Resources,4 units
ECN,152,Economics of Education,4 units
ECN,160A,International Microeconomics,4 units
ECN,160B,International Macroeconomics,4 units
ECN,162,International Economic Relations,4 units
ECN,164,International Finance,4 units
ECN,171,Economy of East Asia,4 units
ECN,190,Topics in Economics,4 units
ECN,190X,Upper Division Seminar,1-4 units
ECN,192,Internship,1-6 units
ECN,197T,Tutoring in Economics,1-5 units
ECN,198,Directed Group Study,1-5 units
ECN,200A,Microeconomic Theory,4 units
ECN,200B,Microeconomic Theory,4 units
ECN,200C,Microeconomic Theory,4 units
ECN,200D,Macroeconomic Theory,4 units
ECN,200E,Macroeconomic Theory,4 units
ECN,200F,Macroeconomic Theory,4 units
ECN,201A,History of Economic Thought,4 units
ECN,201B,History of Economic Thought II,4 units
ECN,203A,Advanced Economic Theory,4 units
ECN,203C,Topics in Economic Theory,4 units
ECN,210A,Economic History,4 units
ECN,210B,Economic History,4 units
ECN,210C,Economic History,4 units
ECN,214,Development Economics,4 units
ECN,216,Energy & Climate Policy,4 units
ECN,230A,Public Economics,4 units
ECN,230B,Public Economics,4 units
ECN,230C,Public Economics,4 units
ECN,233,Poverty & Public Policy,4 units
ECN,235A,Macroeconomics,4 units
ECN,235B,Macroeconomics,4 units
ECN,235C,Macroeconomics,4 units
ECN,235D,Macroeconomics,4 units
ECN,239,Econometric Foundations,4 units
ECN,240A,Econometric Methods,4 units
ECN,240B,Econometric Methods,4 units
ECN,240C,Time Series Econometrics,4 units
ECN,240D,Cross Section Econometrics,4 units
ECN,250A,Labor Economics,4 units
ECN,250B,Labor Economics,4 units
ECN,260A,International Economics,4 units
ECN,260B,International Economics,4 units
ECN,260CN,International Investment & Trade,4 units
ECN,260E,Topics in International Trade,4 units
ECN,270A,Economics of Growth,4 units
ECN,270B,Economics of Growth,4 units
ECN,270C,Economics of Growth,4 units
ECN,280,Orientation to Economic Research,2 units
ECN,290,Topics in Economics,4 units
ECN,291,Contemporary Economics Seminar,2 units
ECN,298,Group Study,1-5 units
ECN,299,Individual Study,1-12 units
ECN,299D,Dissertation Research,1-12 units
ECN,397,Teaching of Economics,2 units
EDU,081,Learning in Science & Mathematics,2 units
EDU,092,Internship,1-3 units
EDU,098,Directed Group Study,1-5 units
EDU,100,Introduction to Schools,4 units
EDU,110,Educational Psychology: General,4 units
EDU,115,Educating Children with Disabilities,2 units
EDU,119,Use & Misuse of Standardized Tests,4 units
EDU,130,Issues in Higher Education,4 units
EDU,153,Diversity in the K-12 Classroom,2 units
EDU,155,Ethnic Studies in K-12 Schools,4 units
EDU,160A,Introduction to Peer Counseling,2 units
EDU,160B,Issues in Peer Counseling,2 units
EDU,163,Guidance & Counseling,4 units
EDU,173,Language Development,4 units
EDU,180A,Computers in Education,1 unit
EDU,180B,Computers in Education,1 unit
EDU,180C,Computers in Education,1 unit
EDU,181,Teaching in Science & Mathematics,2 units
EDU,192,Internship,1-3 units
EDU,197T,Tutoring in Education,1-2 units
EDU,198,Directed Group Study,1-5 units
EDU,200,Educational Research,4 units
EDU,201,Qualitative Research in Education,4 units
EDU,203,Educational Testing & Evaluation,4 units
EDU,207,Concepts of the Curriculum,4 units
EDU,209,Image-Based Field Research,4 units
EDU,213,Individual Assessment,4 units
EDU,223,Education & Social Policy,4 units
EDU,225,Education Policy & Law,4 units
EDU,228,Politics & Governance of Education,4 units
EDU,229,Education Finance Policy,4 units
EDU,230,Special Topics in Education Policy,4 units
EDU,235,Critical Pedagogy,4 units
EDU,237,Survey Research Methods,4 units
EDU,238,Participatory Action Research,PAR
EDU,239,Interview Methods,4 units
EDU,242,Research on Text Comprehension,4 units
EDU,245,Theory & Research in Early Literacy,4 units
EDU,248,Academic Language & Literacies,4 units
EDU,287,CANDEL Dissertation Seminars,6-12 units
EDU,287D,CANDEL Dissertation,6-12 units
EDU,291,Proseminar in Education,4 units
EDU,292,Special Topics in Education,2-4 units
EDU,298,Group Study,1-5 units
EDU,299,Individual Study,1-6 units
EDU,299D,Research,1-12 units
EDU,300,Reading in the Elementary School,4 units
EDU,301,Reading in the Secondary School,4 units
EDU,305A,Teaching in the Middle Grades,5-8 units
EDU,307,Methods in Elementary Science,2 units
EDU,309,The Teaching of Mathematics, K-9,3 units
EDU,310,Teaching as Reflective Practice,1 unit
EDU,320,Creating Classroom Communities,1 unit
EDU,398,Group Study,1-5 units
EDU,399,Individual Study,1-5 units
EAP,001,Global Thinking,4 units
EAP,090X,International Education Seminar,1 unit
EAP,190X,International Education Seminar,1 unit
EAP,192,Internship in Education Abroad,1-12 units
EEC,018,Digital Systems I,5 units
EEC,090X,Lower Division Seminar,1-4 units
EEC,098,Directed Group Study,1-5 units
EEC,100,Circuits II,5 units
EEC,105A,EE-Emerge 1,1 unit
EEC,105B,EE-Emerge 2,2 units
EEC,105C,EE-Emerge 3,1 unit
EEC,110A,Electronic Circuits I,4 units
EEC,110B,Electronic Circuits II,4 units
EEC,111,Digital Electronic Circuits,4 units
EEC,112,Communication Electronics,4 units
EEC,113,Power Electronic Circuits,4 units
EEC,116,VLSI Design,4 units
EEC,118,Digital Integrated Circuits,4 units
EEC,119A,Integrated Circuit Design Project,3 units
EEC,119B,Integrated Circuit Design Project,3 units
EEC,130A,Electromagnetics I,4 units
EEC,130B,Introductory Electromagnetics II,4 units
EEC,134A,RF/Microwave Systems Design,3 units
EEC,134B,RF/Microwave Systems Design,3 units
EEC,136A,Electronic Design Project,3 units
EEC,136B,Electronic Design Project,3 units
EEC,140A,Principles of Device Physics I,4 units
EEC,140AV,Principles of Device Physics I,4 units
EEC,140B,Principles of Device Physics II,4 units
EEC,145,Electronic Materials,4 units
EEC,146A,Integrated Circuits Fabrication,4 units
EEC,151,Digital Signals & Systems,4 units
EEC,152,Digital Signal Processing,4 units
EEC,157A,Control Systems,4 units
EEC,157AV,Control Systems,4 units
EEC,157B,Control Systems,4 units
EEC,157BY,Control Systems,4 units
EEC,160,Signal Analysis & Communications,4 units
EEC,165,Statistical & Digital Communication,4 units
EEC,171,Parallel Computer Architecture,4 units
EEC,172,Embedded Systems,4 units
EEC,173A,Computer Networks,4 units
EEC,174AY,Applied Machine Learning,3 units
EEC,175A,Internet of Things,3 units
EEC,180,Digital Systems II,5 units
EEC,181A,Digital Systems Design Project,3 units
EEC,181B,Digital Systems Design Project,3 units
EEC,193A,Senior Design Project,3 units
EEC,193B,Senior Design Project,3 units
EEC,196,Issues in Engineering Design,1 unit
EEC,198,Directed Group Study,1-5 units
EEC,200,Navigating Graduate School,1 unit
EEC,201,Digital Signal Processing,4 units
EEC,206,Digital Image Processing,4 units
EEC,210,MOS Analog Circuit Design,4 units
EEC,211,Advanced Analog Circuit Design,4 units
EEC,215,Circuits for Digital Communications,4 units
EEC,222,RF IC Design,4 units
EEC,230,Electromagnetics,4 units
EEC,233,High Speed Signal Integrity,4 units
EEC,235,Photonics,4 units
EEC,236,Nonlinear Optical Applications,3 units
EEC,237A,Lasers,3 units
EEC,237B,Laser Physics II,4 units
EEC,240,Semiconductor Device Physics,4 units
EEC,242,Advanced Nanostructured Devices,4 units
EEC,243,Optical Imaging & Microscopy,4 units
EEC,244,Introduction to Neuroengineering,4 units
EEC,246,Advanced Projects in IC Fabrication,4 units
EEC,247,Advanced Semiconductor Devices,4 units
EEC,248,Photovoltaics & Solar Cells,3 units
EEC,249,Nanofabrication,4 units
EEC,250,Linear Systems & Signals,4 units
EEC,251,Nonlinear Systems,4 units
EEC,254,Optimization,3 units
EEC,255,Robotic Systems,3 units
EEC,256,Reinforcement Learning,4 units
EEC,260,Random Signals & Noise,4 units
EEC,263,Optimal & Adaptive Filtering,4 units
EEC,266,Information Theory & Coding,4 units
EEC,267,Mobile Communications,4 units
EEC,269A,Error Correcting Codes I,4 units
EEC,269B,Error Correcting Codes II,3 units
EEC,270,Computer Architecture,4 units
EEC,279,Modern Parallel Computing,4 units
EEC,281,VLSI Digital Signal Processing,4 units
EEC,290P,Capstone Project For MS Plan II,4 units
EEC,292,Seminar in Solid-State Technology,1 unit
EEC,295,Systems, Control & Robotics Seminar,1 unit
EEC,296,Photonics Research Seminar,1 unit
EEC,298,Group Study,1-5 units
EEC,299,Research,1-12 units
EMR,192A,Joan Viteri Memorial Clinic,JVMC
EMR,299,Research,1-12 units
EMR,435,Wilderness Medicine,3-6 units
EMR,440,Emergency Medicine Clerkship,4.5-6 units
EMR,455A,Focus on POCUS A,6 units
EMR,455B,Focus on POCUS B,6 units
EMR,490,Emergency Procedures Elective,3 units
EMR,499,Research,2-18 units
ENM,192,Internship in Endocrinology,1-12 units
ENM,299,Research,1-12 units
ENM,465,Clinical Nutrition Clerkship,3-18 units
ENM,480,Insights in Endocrinology,1-3 units
ENM,499,Research,1-12 units
EGG,200,Introduction to Energy Systems,4 units
EGG,202,Energy & Climate Policy,4 units
EGG,290,Energy Seminar,1 unit
EGG,298A,Group Study,1-5 units
EGG,298B,Group Study,1-5 units
EGG,299,Research,1-12 units
ENG,001,Introduction to Engineering,1 unit
ENG,003,Introduction to Engineering Design,4 units
ENG,004,Engineering Graphics in Design,3 units
ENG,006,Engineering Problem Solving,4 units
ENG,008,Introduction to Entrepreneurship,3 units
ENG,011A,Issues in Engineering,1 unit
ENG,011B,Issues in Engineering,1 unit
ENG,017,Circuits I,4 units
ENG,017V,Circuits I,4 units
ENG,035,Statics,4 units
ENG,045,Properties of Materials,4 units
ENG,045H,Honors Properties of Materials,1 unit
ENG,045Y,Properties of Materials,4 units
ENG,098,Directed Group Study,1-4 units
ENG,100,Electronic Circuits & Systems,3 units
ENG,102,Dynamics,4 units
ENG,103,Fluid Mechanics,4 units
ENG,104,Mechanics of Materials,4 units
ENG,104L,Mechanics of Materials Laboratory,1 unit
ENG,105,Thermodynamics,4 units
ENG,106,Engineering Economics,4 units
ENG,108,Launching a Company,3 units
ENG,111,Electric Machinery Fundamentals,4 units
ENG,121,Fluid Power Actuators & Systems,4 units
ENG,160,Environmental Physics & Society,3 units
ENG,180,Engineering Analysis,4 units
ENG,198,Directed Group Study,1-5 units
ENG,250,Technology Management,3 units
ENL,003,Introduction to Literature,4 units
ENL,003A,Writers' Workshop,2 units
ENL,003V,Introduction to Literature,4 units
ENL,010A,Literatures in English I: To 1700,4 units
ENL,040,Introductory Topics in Literature,4 units
ENL,042,Approaches to Reading,4 units
ENL,043,Introductory Topics in Drama,4 units
ENL,044,Introductory Topics in Fiction,4 units
ENL,045,Introductory Topics in Poetry,4 units
ENL,052,Pop Culture Shakespeare,3 units
ENL,053,Youth in Revolt,3 units
ENL,054,Literature, Health, & Medicine,3 units
ENL,055,Literary Animals,3 units
ENL,056,Speculative Fictions,3 units
ENL,059,Racial Imaginaries,3 units
ENL,072,Introduction to Games,4 units
ENL,092,Internship in English,1-12 units
ENL,098,Directed Group Study,1-5 units
ENL,098F,Student Facilitated Course,1-4 units
ENL,099,Special Study for Undergraduates,1-5 units
ENL,100F,Creative Writing: Fiction,4 units
ENL,100NF,Creative Writing: Non-Fiction,4 units
ENL,100P,Creative Writing: Poetry,4 units
ENL,105,History of the English Language,4 units
ENL,106,English Grammar,4 units
ENL,106P,English Grammar Practicum,2 units
ENL,107,Freedom of Expression,4 units
ENL,110A,Introduction to Literary Theory,4 units
ENL,111,Topics in Medieval Literature,4 units
ENL,113B,Chaucer: The Canterbury Tales,4 units
ENL,117,Shakespeare,4 units
ENL,120,Law & Literature,4 units
ENL,122,Milton,4 units
ENL,123,18th-Century British Literature,4 units
ENL,125,Topics in Irish Literature,4 units
ENL,130,British Romantic Literature,4 units
ENL,133,19th-Century British Literature,4 units
ENL,137,British Literature, 1900-1945,4 units
ENL,138,British Literature, 1945 to Present,4 units
ENL,142,Early American Literature,4 units
ENL,144,Post-Civil War American Literature,4 units
ENL,145,Reading Race, Class, & Gender,4 units
ENL,146,American Literature 1900-1945,4 units
ENL,149,Topics in Literature,4 units
ENL,150A,British Drama to 1800,4 units
ENL,150B,Drama from 1800 to the Present,4 units
ENL,153,Topics in Drama,4 units
ENL,154,The Graphic Novel,4 units
ENL,155A,18th-Century British Novel,4 units
ENL,155B,19th-Century British Novel,4 units
ENL,155C,20th-Century British Novel,4 units
ENL,156,The Short Story,4 units
ENL,157,Detective Fiction,4 units
ENL,158A,The American Novel to 1900,4 units
ENL,159,Topics in the Novel,4 units
ENL,160,Film as Narrative,4 units
ENL,162,Film Theory & Criticism,4 units
ENL,163,Literary Study in the British Isles,4 units
ENL,164,Writing Science,4 units
ENL,165,Topics in Poetry,4 units
ENL,168,20th-Century American Poetry,4 units
ENL,172,Video Games & Culture,4 units
ENL,173,Science Fiction,4 units
ENL,177,Study of an Individual Author,4 units
ENL,180,Children's Literature,4 units
ENL,182,Literature of California,4 units
ENL,183,Young Adult Literature,4 units
ENL,184,Literature & the Environment,4 units
ENL,185A,Literature by Women Before 1800,4 units
ENL,185C,Literature by Women after 1900,4 units
ENL,186,Literature, Sexuality, & Gender,4 units
ENL,187A,Topics in Literature & Media,4 units
ENL,188A,Topics in Literary & Critical Theory,4 units
ENL,189,Seminar in Literary Studies,4 units
ENL,192,Internship in English,1-12 units
ENL,194H,Seminar for Honors Students,4 units
ENL,195H,Honors Thesis,4 units
ENL,197T,Tutoring in English,1-5 units
ENL,197TC,Community Tutoring in English,1-5 units
ENL,198,Directed Group Study,1-5 units
ENL,198F,Student Facilitated Course,1-4 units
ENL,198S,Directed Group Study,4 units
ENL,199FB,Student Facilitated Teaching,1-4 units
ENL,205,Anglo-Saxon Language & Culture,4 units
ENL,206,Beowulf,4 units
ENL,207,Middle English,4 units
ENL,225,Topics in Irish Literature,4 units
ENL,230,Study of a Major Writer,4 units
ENL,232,Problems in English Literature,4 units
ENL,233,Problems in American Literature,4 units
ENL,234,Dramatic Literature,4 units
ENL,235,Theory of Fiction,4 units
ENL,237,Seminar for Writers,4 units
ENL,238,Special Topics in Literary Theory,4 units
ENL,240,Medieval Literature,4 units
ENL,242,16th-Century Literature,4 units
ENL,244,Shakespeare,4 units
ENL,246,17th-Century Literature,4 units
ENL,248,18th-Century Literature,4 units
ENL,250,Romantic Literature,4 units
ENL,252,Victorian Literature,4 units
ENL,254,20th-Century British Literature,4 units
ENL,256,Early American Literature,4 units
ENL,262,American Literature after 1914,4 units
ENL,275,Proseminar in Research Practices,2 units
ENL,280,Seminar in Research Practices,4 units
ENL,285,Literature by Women,4 units
ENL,287,Topics in Literature & Media,4 units
ENL,288,Prospectus Workshop,4 units
ENL,289,Article Writing Workshop,4 units
ENL,290,Creative Writing: Special Topic,4 units
ENL,290F,Creative Writing: Fiction,4 units
ENL,290NF,Creative Writing: Non-Fiction,4 units
ENL,290P,Creative Writing: Poetry,4 units
ENL,298,Directed Group Study,1-5 units
ENL,299,Individual Study,1-12 units
ENL,391,Teaching Creative Writing,2 units
ENL,393,Teaching Literature & Composition,2 units
ENT,001,Art, Science & the World of Insects,3 units
ENT,002,Biodiversity,3 units
ENT,010,Natural History of Insects,3 units
ENT,090X,Special Topics in Entomology,2 units
ENT,092,Internship,1-12 units
ENT,099,Special Study for Undergraduates,1-5 units
ENT,100,General Entomology,4 units
ENT,100L,General Entomology Laboratory,2 units
ENT,101,Functional Insect Morphology,3 units
ENT,102,Insect Physiology,4 units
ENT,103,Insects Systematics,3 units
ENT,104,Behavioral Ecology of Insects,3 units
ENT,105,Insect Ecology,4 units
ENT,107,California Insect Diversity,5 units
ENT,108,Evolution & Ecology of Arachnids,3 units
ENT,109,Field Taxonomy & Ecology,7 units
ENT,110,Arthropod Pest Management,5 units
ENT,111,Chemical Ecology,3 units
ENT,117,Longevity,4 units
ENT,119,Apiculture,3 units
ENT,120,Pollination Biology,3 units
ENT,123,Plant-Virus-Vector Interaction,3 units
ENT,135,Introduction to Biological Control,4 units
ENT,153,Medical Entomology,3 units
ENT,156,Biology of Parasitism,3 units
ENT,156L,Biology of Parasitism Laboratory,1 unit
ENT,158,Forensic Entomology,3 units
ENT,192,Internship,1-12 units
ENT,197T,Tutoring in Entomology,1-3 units
ENT,198,Directed Group Study,1-5 units
ENT,225,Terrestrial Field Ecology,4 units
ENT,230,Advanced Biological Control,4 units
ENT,253,Advanced Medical Entolomogy,3 units
ENT,290,Exploratory Topics in Entomology,2 units
ENT,297N,Seminar in Entomology,1 unit
ENT,298,Group Study,1-5 units
ENT,299,Research,1-12 units
ENH,100,Urban Forestry,4 units
ENH,101,Trees of the Urban Forest,2 units
ENH,120,Management of Container Media,3 units
ENH,160,Restoration Ecology,4 units
ENH,160L,Restoration Ecology Laboratory,1 unit
ENV,200B,Environmental Policy Evaluation,4 units
ENV,200C,Social Ecological Systems,4 units
ENV,200CN,Environmental Governance,4 units
ENV,201,Environmental Law,4 units
ENV,203A,Environmental Policy Clinic,4 units
ENV,203B,Environmental Policy Clinic,4 units
ENV,290,Seminar,1 unit
ENV,292,Graduate Internship,1-12 units
ENV,297,Professional Development Seminar,1 unit
ENV,298,Group Study,1-5 units
ENV,299,Research,1-12 units
ESM,008,Water Quality at Risk,3 units
ESM,092,Internship,1-12 units
ESM,098,Directed Group Study,1-5 units
ESM,100,Principles of Hydrologic Science,4 units
ESM,108,Environmental Monitoring,3 units
ESM,120,Global Environmental Interactions,4 units
ESM,121,Water Science & Management,3 units
ESM,125,River Conservation,4 units
ESM,131,Air as a Resource,3 units
ESM,141,Role of Fire in Natural Ecosystems,4 units
ESM,144,Trees & Forests,4 units
ESM,186,Environmental Remote Sensing,5 units
ESM,192,Internship,1-12 units
ESM,194H,Senior Honor Thesis,2-6 units
ESM,198,Directed Group Study,1-5 units
ESM,198F,Student Facilitated Course,1-3 units
ESP,001,Environmental Analysis,4 units
ESP,010,Current Issues in the Environment,3 units
ESP,092,Internship,1-12 units
ESP,098,Directed Group Study,1-5 units
ESP,100,General Ecology,4 units
ESP,101,Ecology, Nature, & Society,4 units
ESP,104,Community Ecology,4 units
ESP,106,Environmental Data Science,4 units
ESP,110,Principles of Environmental Science,4 units
ESP,111,Marine Environmental Issues,1 unit
ESP,116N,Oceanography,3 units
ESP,121,Population Ecology,4 units
ESP,124,Marine & Coastal Field Ecology,3 units
ESP,127,Plant Conservation Biology,4 units
ESP,150B,Geological Oceanography,3 units
ESP,150C,Biological Oceanography,4 units
ESP,151,Limnology,4 units
ESP,151L,Limnology Laboratory,3 units
ESP,152,Coastal Oceanography,3 units
ESP,155,Wetland Ecology,4 units
ESP,155L,Wetland Ecology Laboratory,3 units
ESP,160,The Policy Process,4 units
